Train_No,Start_Station_Code,Start_Station_Name,Start_Departure_Time,End_Station_Code,End_Station_Name,End_Arrival_Time,Midnight_Rollover,Duration_Minutes,Duration_Hours,Duration_Computable,Duration_Status,Total_Distance_km,Route_Type,Classification_Basis
66600,CBE,COIMBATORE,18:25:00,ED,ERODE JN.,20:50:00,False,145.0,2.42,True,Valid (Same Day),100.0,Medium,Duration
66601,ED,ERODE JN.,06:55:00,CBE,COIMBATORE,09:40:00,False,165.0,2.75,True,Valid (Same Day),100.0,Medium,Duration
66602,CBE,COIMBATORE,09:05:00,SA,SALEM JN.,13:00:00,False,235.0,3.92,True,Valid (Same Day),159.0,Medium,Duration
66603,SA,SALEM JN.,13:40:00,CBE,COIMBATORE,17:50:00,False,250.0,4.17,True,Valid (Same Day),159.0,Long,Duration
66604,SRR,SHORANUR JN.,14:55:00,CBE,COIMBATORE,17:40:00,False,165.0,2.75,True,Valid (Same Day),98.0,Medium,Duration
66605,CBE,COIMBATORE,09:45:00,SRR,SHORANUR JN.,12:30:00,False,165.0,2.75,True,Valid (Same Day),98.0,Medium,Duration
66606,PGTN,PALGHAT TOWN,07:15:00,CBE,COIMBATORE,08:50:00,False,95.0,1.58,True,Valid (Same Day),58.0,Medium,Duration
66607,CBE,COIMBATORE,18:10:00,PGTN,PALGHAT TOWN,19:55:00,False,105.0,1.75,True,Valid (Same Day),58.0,Medium,Duration
66608,PGTN,PALGHAT TOWN,14:30:00,ED,ERODE JN.,19:05:00,False,275.0,4.58,True,Valid (Same Day),158.0,Long,Duration
66609,ED,ERODE JN.,07:45:00,PGTN,PALGHAT TOWN,12:25:00,False,280.0,4.67,True,Valid (Same Day),159.0,Long,Duration
66611,PGT,PALAKKAD JN,08:20:00,ERS,ERNAKULAM. J,12:25:00,False,245.0,4.08,True,Valid (Same Day),149.0,Long,Duration
66612,ERS,ERNAKULAM. J,15:10:00,PGT,PALAKKAD JN,19:25:00,False,255.0,4.25,True,Valid (Same Day),150.0,Long,Duration
67247,RVD,RAVIKAMPADU,13:15:00,VSKP,VISAKHAPATNA,16:40:00,False,205.0,3.42,True,Valid (Same Day),121.0,Medium,Duration
67248,TUNI,TUNI,20:45:00,RJY,RAJAHMUNDRY,23:20:00,False,155.0,2.58,True,Valid (Same Day),103.0,Medium,Duration
67249,TDU,TANDUR,06:15:00,SC,SECUNDERABAD,09:10:00,False,175.0,2.92,True,Valid (Same Day),113.0,Medium,Duration
67250,SC,SECUNDERABAD,18:00:00,TDU,TANDUR,21:00:00,False,180.0,3.0,True,Valid (Same Day),113.0,Medium,Duration
67251,BZA,VIJAYWADA JN,05:00:00,TEL,TENALI JN.,05:50:00,False,50.0,0.83,True,Valid (Same Day),31.0,Short,Duration
67253,TEL,TENALI JN.,06:10:00,BZA,VIJAYWADA JN,07:05:00,False,55.0,0.92,True,Valid (Same Day),31.0,Short,Duration
67254,BZA,VIJAYWADA JN,08:20:00,GNT,GUNTUR JN.,09:20:00,False,60.0,1.0,True,Valid (Same Day),32.0,Short,Duration
67255,GNT,GUNTUR JN.,09:30:00,TEL,TENALI JN.,10:15:00,False,45.0,0.75,True,Valid (Same Day),25.0,Short,Duration
67256,TEL,TENALI JN.,11:25:00,OGL,ONGOLE,14:00:00,False,155.0,2.58,True,Valid (Same Day),106.0,Medium,Duration
67257,OGL,ONGOLE,12:35:00,TEL,TENALI JN.,15:55:00,False,200.0,3.33,True,Valid (Same Day),106.0,Medium,Duration
67258,TEL,TENALI JN.,16:50:00,GNT,GUNTUR JN.,18:00:00,False,70.0,1.17,True,Valid (Same Day),25.0,Short,Duration
67259,GNT,GUNTUR JN.,18:30:00,BZA,VIJAYWADA JN,19:35:00,False,65.0,1.08,True,Valid (Same Day),32.0,Short,Duration
67260,OGL,ONGOLE,14:35:00,BZA,VIJAYWADA JN,18:00:00,False,205.0,3.42,True,Valid (Same Day),138.0,Medium,Duration
67261,BZA,VIJAYWADA JN,18:20:00,RJY,RAJAHMUNDRY,22:20:00,False,240.0,4.0,True,Valid (Same Day),149.0,Medium,Duration
67262,RJY,RAJAHMUNDRY,03:45:00,BZA,VIJAYWADA JN,07:35:00,False,230.0,3.83,True,Valid (Same Day),149.0,Medium,Duration
67263,BZA,VIJAYWADA JN,08:00:00,OGL,ONGOLE,11:40:00,False,220.0,3.67,True,Valid (Same Day),138.0,Medium,Duration
67264,HYB,HYDERABAD DE,09:40:00,WL,WARANGAL,13:45:00,False,245.0,4.08,True,Valid (Same Day),163.0,Long,Duration
67265,WL,WARANGAL,05:15:00,HYB,HYDERABAD DE,09:10:00,False,235.0,3.92,True,Valid (Same Day),163.0,Medium,Duration
67266,HYB,HYDERABAD DE,18:40:00,KZJ,KAZIPET JN.,22:00:00,False,200.0,3.33,True,Valid (Same Day),143.0,Medium,Duration
67267,WL,WARANGAL,14:00:00,HYB,HYDERABAD DE,18:05:00,False,245.0,4.08,True,Valid (Same Day),163.0,Long,Duration
67269,KZJ,KAZIPET JN.,06:40:00,DKJ,DORNAKAL JN.,08:40:00,False,120.0,2.0,True,Valid (Same Day),104.0,Medium,Duration
67270,DKJ,DORNAKAL JN.,21:10:00,KZJ,KAZIPET JN.,23:30:00,False,140.0,2.33,True,Valid (Same Day),104.0,Medium,Duration
67271,DKJ,DORNAKAL JN.,09:00:00,BZA,VIJAYWADA JN,12:10:00,False,190.0,3.17,True,Valid (Same Day),121.0,Medium,Duration
67272,BZA,VIJAYWADA JN,18:15:00,DKJ,DORNAKAL JN.,20:55:00,False,160.0,2.67,True,Valid (Same Day),122.0,Medium,Duration
67273,BZA,VIJAYWADA JN,12:30:00,GNT,GUNTUR JN.,13:30:00,False,60.0,1.0,True,Valid (Same Day),32.0,Short,Duration
67274,GNT,GUNTUR JN.,14:10:00,BZA,VIJAYWADA JN,15:10:00,False,60.0,1.0,True,Valid (Same Day),32.0,Short,Duration
67275,FM,FALAKNUMA,06:15:00,BG,BHONGIR,08:00:00,False,105.0,1.75,True,Valid (Same Day),59.0,Medium,Duration
67276,BG,BHONGIR,09:00:00,FM,FALAKNUMA,10:55:00,False,115.0,1.92,True,Valid (Same Day),59.0,Medium,Duration
